Lat/Long
32° 0' N / 120° 48' E
29° 52' N / 121° 31' E
36° 3' N / 120° 20' E
40° 0' N / 119° 30' E
31° 14' N / 121° 28' E
23° 20' N / 116° 45' E
39° 6' N / 117° 10' E
24° 27' N / 118° 2' E
21° 11' N / 110° 24' E
10° 58' N / 74° 47' W
3° 53' N / 77° 5' W
10° 26' N / 75° 33' W
12° 16' N / 71° 58' W
1° 49' N / 78° 45' W
8° 0' N / 76° 50' W
11° 42' S / 43° 44' E
12° 10' S / 44° 24' E
4° 47' S / 11° 49' E
6° 1' S / 12° 25' E
5° 51' S / 13° 3' E
9° 54' N / 84° 43' W
8° 37' N / 83° 10' W
9° 58' N / 84° 50' W
9° 25' N / 84° 10' W
5° 18' N / 4° 0' W
45° 19' N / 14° 26' E
44° 7' N / 15° 14' E
42° 39' N / 18° 5' E
45° 12' N / 14° 33' E
43° 3' N / 17° 26' E
44° 51' N / 13° 51' E
43° 44' N / 15° 53' E
43° 31' N / 16° 26' E
23° 9' N / 82° 21' W
20° 20' N / 77° 12' W
23° 3' N / 81° 34' W
21° 33' N / 77° 16' W
19° 50' N / 75° 52' W
34° 34' N / 33° 2' E
35° 7' N / 33° 57' E
35° 3' N / 32° 24' E
34° 39' N / 33° 1' E
34° 45' N / 32° 24' E
34° 43' N / 33° 19' E
56° 10' N / 10° 13' E
55° 28' N / 8° 26' E
55° 33' N / 9° 45' E
57° 28' N / 10° 33' E
56° 25' N / 10° 56' E
55° 25' N / 10° 23' E
55° 5' N / 14° 41' E
11° 36' N / 43° 8' E
15° 34' N / 61° 28' W
15° 17' N / 61° 24' W
18° 12' N / 71° 4' W
18° 27' N / 69° 1' W
19° 49' N / 70° 42' W
18° 25' N / 70° 0' W
18° 26' N / 69° 18' W
18° 28' N / 18° 28' N
1° 0' N / 79° 38' W
2° 16' S / 79° 54' W
2° 12' S / 80° 55' W
0° 55' S / 80° 43' W
3° 15' S / 80° 1' W
1° 10' S / 78° 50' W
31° 8' N / 29° 49' E
31° 28' N / 31° 45' E
31° 16' N / 32° 19' E
29° 58' N / 32° 33' E
13° 35' N / 89° 50' W
13° 28' N / 89° 49' W
1° 52' N / 9° 46' E
1° 25' N / 9° 14' E
3° 46' N / 8° 47' E
58° 23' N / 24° 29' E
59° 27' N / 24° 46' E
62° 14' N / 6° 35' W
62° 0' N / 6° 46' W
16° 26' S / 179° 14' E
17° 36' S / 177° 26' E
17° 41' S / 178° 51' E
16° 49' S / 179° 18' E
18° 8' S / 178° 26' E
60° 34' N / 27° 11' E
60° 10' N / 24° 57' E
63° 50' N / 23° 8' E
60° 28' N / 26° 57' E
60° 24' N / 26° 16' E
65° 0' N / 25° 25' E
61° 36' N / 21° 29' E
61° 8' N / 21° 30' E
60° 27' N / 22° 15' E
60° 48' N / 21° 24' E
60° 06' N / 21° 36' E
44° 50' N / 0° 34' W
50° 45' N / 1° 34' E
49° 38' N / 1° 38' W
51° 3' N / 2° 22' E
46° 9' N / 1° 10' W
49° 30' N / 0° 7' W
43° 19' N / 5° 22' E
47° 14' N / 1° 34' W
